BrandName,category,Individual_category,discounted_price,OriginalPrice (in Rs),Discount,SizeOption,ratings,Reviews
Clora Creation,Indian Wear,palazzos,729,999,27%,"28, 30, 32, 34, 36, 38, 40",4.1,963
mokshi,Indian Wear,kurtas,825,2499,67%,"S, M, L, XL, XXL",3.7,962
Saree mall,Indian Wear,sarees,1295,3699,65%,Onesize,4.2,962
Vishudh,Indian Wear,kurtas,650,3249,80%,"S, M, L, XL, XXL",4.2,959
Go Colors,Indian Wear,leggings,699,699,,"S, M, L, XL",4.5,959
Sangria,Indian Wear,tops,1199,1999,40%,"XS, S, M, L, XL, XXL, 3XL",4.2,954
Anouk,Indian Wear,kurta-sets,1125,2499,55%,"XS, S, M, L, XL, XXL",4,954
Sangria,Indian Wear,kurta-sets,1190,3399,65%,"XS, S, M, L, XL, XXL, 3XL",3.9,952
Varanga,Indian Wear,kurta-sets,1380,4599,70%,"S, M, L, XL, XXL",3.9,952
HERE&NOW,Indian Wear,tops,769,1399,45%,"XS, S, M, L, XL, XXL",4.1,951
Vishudh,Indian Wear,dresses,799,1949,59%,"S, M, L, XL, XXL",4.3,951
Cottinfab,Indian Wear,dresses,1480,3699,60%,"S, M, L, XL, XXL",4.4,949
Sangria,Indian Wear,tops,650,1299,50%,"XS, S, M, L, XL, XXL, 3XL",4.4,948
Sangria,Indian Wear,kurtas,455,1299,65%,"XS, S, M, L, XL, XXL, 3XL",4.2,948
Saree mall,Indian Wear,sarees,621,2299,73%,Onesize,3.9,947
kipek,Indian Wear,kurtas,1640,3999,59%,"S, M, L, XL, XXL",4.5,941
Sangria,Indian Wear,kurtas,550,1099,50%,"XS, S, M, L, XL, XXL, 3XL",4.3,938
KALINI,Indian Wear,sarees,640,1999,68%,Onesize,4,938
Ishin,Indian Wear,kurta-sets,1520,3799,60%,"S, M, L, XL, XXL",4.4,935
Anouk,Indian Wear,kurtas,560,1599,65%,"XS, S, M, L, XL",4.1,934
Anouk,Indian Wear,kurta-sets,1200,2999,60%,"XS, S, M, L, XL, XXL",4.1,932
Inddus,Indian Wear,sarees,2480,6199,60%,Onesize,4.2,930
Hangup,Indian Wear,kurtas,875,2499,65%,"M, L, XL, XXL",4,929
Janasya,Indian Wear,kurta-sets,1645,4699,65%,"XS, S, M, L, XL, XXL, 3XL",4.3,928
Inddus,Indian Wear,sarees,2590,6999,63%,Onesize,4.4,926
Indo Era,Indian Wear,kurta-sets,1564,3399,54%,"XS, S, M, L, XL, XXL",4.4,922
AHIKA,Indian Wear,kurta-sets,1679,3997,58%,"XS, S, M, L, XL, XXL, 3XL, 4XL",4,921
Vishudh,Indian Wear,palazzos,473,1099,57%,"28, 30, 32, 34, 36",4.3,19
WEAVERS VILLA,Indian Wear,shawl,604,1099,45%,Onesize,3.9,19
Anouk,Indian Wear,sarees,275,1099,75%,Onesize,3.9,19
Vishudh,Indian Wear,kurtas,402,1149,65%,"S, M, L, XL, XXL",4.2,19
VASTRANAND,Indian Wear,saree-blouse,609,1195,49%,Onesize,3.9,19
VASTRANAND,Indian Wear,saree-blouse,562,1195,53%,Onesize,3.8,19
Libas,Indian Wear,palazzos,719,1199,40%,"29, 31, 33, 35",4.3,19
Shae by SASSAFRAS,Indian Wear,palazzos,480,1199,60%,"26, 28, 30, 32, 34, 36",3.9,19
IMARA,Indian Wear,kurtas,600,1199,50%,"XS, S, M, L, XL, XXL",3.8,19
Rangriti,Indian Wear,kurtas,719,1199,40%,"S, M, L, XL",3.4,19
Clora Creation,Indian Wear,palazzos,731,1199,39%,"28, 30, 32, 34, 36, 38, 40",4.3,19
Ayaany,Indian Wear,kurtas,839,1199,30%,"S, M, L, XL, XXL",4.2,19
Clora Creation,Indian Wear,dupatta,791,1199,34%,Onesize,4.3,19
Janasya,Indian Wear,kurtas,827,1199,31%,"XS, S, M, L, XL, XXL, 3XL",4.2,19
SHOPGARB,Indian Wear,lehenga-choli,3360,12000,72%,Onesize,3.8,19
Readiprint Fashions,Indian Wear,lehenga-choli,6375,12750,50%,Onesize,4.9,19
Vishudh,Indian Wear,kurtas,507,1299,61%,"S, M, L, XL, XXL",4.7,19
Dupatta Bazaar,Indian Wear,dupatta,701,1299,46%,Onesize,4.3,19
mf,Indian Wear,dupatta,585,1299,55%,Onesize,4.6,19
KALINI,Indian Wear,sarees,455,1299,65%,Onesize,4.2,19
studio rasa,Indian Wear,dupatta,779,1299,40%,Onesize,3.3,19
7Threads,Indian Wear,kurtas,375,1339,72%,"S, M, L, XL, XXL, 3XL, 4XL",3.9,19
7Threads,Indian Wear,kurtas,375,1339,72%,"S, M, L, XL, XXL, 3XL, 4XL",3.3,19
Clora Creation,Indian Wear,palazzos,797,1399,43%,"28, 30, 32, 34, 36, 38",4.4,19
WEAVERS VILLA,Indian Wear,shawl,769,1399,45%,Onesize,4.1,19
IMARA,Indian Wear,kurtas,700,1399,50%,"XS, S, M, L, XL, XXL",3.2,19
WEAVERS VILLA,Indian Wear,shawl,769,1399,45%,Onesize,4,19
YASH GALLERY,Indian Wear,tops,681,1449,53%,"S, M, L, XL",4.3,19
MIRCHI FASHION,Indian Wear,sarees,688,1495,54%,Onesize,4.2,19
Saree mall,Indian Wear,sarees,660,1499,56%,Onesize,4.1,19
