BrandName,category,Individual_category,discounted_price,OriginalPrice (in Rs),Discount,SizeOption,ratings,Reviews
Anubhutee,Indian Wear,kurta-sets,850,2499,66%,"S, M, L, XL, XXL",4.1,973
NEU LOOK FASHION,Sports Wear,tights,540,1499,64%,"S, M, L, XL, XXL",4,973
HRX by Hrithik Roshan,Sports Wear,tights,765,1699,55%,"XS, S, M, L, XL, XXL",4,973
Varanga,Indian Wear,kurtas,980,2799,65%,"S, M, L, XL, XXL",4.1,972
Roadster,Western,tshirts,210,599,35%,"XS, S, M, L, XL",4.2,999
Mast & Harbour,Western,tops,,599,40%,"XS, S, M, L, XL",4.4,999
Mayra,Western,tops,,1395,58%,"S, M, L, XL",3.7,998
Roadster,Western,tshirts,,1098,,"XS, S, M, L, XL",4.3,997
Athena,Western,jumpsuit,,2499,50%,"XS, S, M, L, XL",4.3,996
Roadster,Western,tshirts,,799,60%,"XS, S, M, L, XL",4,996
Sangria,Plus Size,kurta-sets,,3999,,"XS, S, M, L, XL, XXL, 3XL",4.3,995
DressBerry,Western,tshirts,,999,75%,"XS, S, M, L, XL",4.3,995
Roadster,Western,tshirts,,1298,,"XS, S, M, L, XL",4.4,994
all about you,Western,shirts,,1499,50%,"XS, S, M, L, XL",4.2,993
KASSUALLY,Western,tops,,1299,62%,"XS, S, M, L, XL, XXL",4.3,992
RARE,Western,tops,,1299,57%,"S, M, L, XL",4.2,991
WISSTLER,Western,shorts,,899,61%,"26, 28, 30, 32, 34, 36",4,991
Sangria,Plus Size,kurtas,359,899,60%,"XS, S, M, L, XL, XXL, 3XL",4,990
Roadster,Western,shorts,,1199,55%,"26, 28, 30, 32, 34, 36",4.3,990
Roadster,Western,tshirts,,1598,50%,"L, M, S, XS, XL",4.2,990
Vishudh,Western,dresses,,2349,65%,"S, M, L, XL, XXL",4.4,990
Cottinfab,Western,jumpsuit,,2449,65%,"S, M, L, XL, XXL",4.3,990
QUIERO,Western,jumpsuit,,2959,55%,"XS, S, M, L, XL",4.3,990
Tokyo Talkies,Western,track-pants,,1199,49%,"S, M, L, XL",4.3,989
Sangria,Plus Size,kurtas,359,899,60%,"XS, S, M, L, XL, XXL, 3XL",4,990
HRX by Hrithik Roshan,Sports Wear,tights,594,1699,65%,"XS, S, M, L, XL, XXL",4,988
plusS,Plus Size,tops,559,1599,65%,"S, M, L, XL, XXL, 3XL, 4XL",4.4,986
Sangria,Plus Size,kurta-sets,2924,4499,35%,"XS, S, M, L, XL, XXL, 3XL",4,985
HERE&NOW,Plus Size,tops,719,1799,60%,"XS, S, M, L, XL, XXL",4.2,983
Sangria,Plus Size,kurtas,999,3999,75%,"XS, S, M, L, XL, XXL, 3XL",4.2,983
HERE&NOW,Plus Size,tops,629,1399,55%,"XS, S, M, L, XL, XXL, 3XL",4.2,981
Clovia,Sports Wear,tshirts,415,799,48%,"S, M, L, XL, XXL",5,
Zelocity by Zivame,Sports Wear,tshirts,295,845,65%,"XS, S, M, L, XL, XXL",5,
Sweet Dreams,Sports Wear,capris,786,874,10%,38,5,
URBANIC,Sports Wear,shorts,792,990,20%,"24, 26, 28, 30, 32",5,
Sugr,Sports Wear,track-pants,699,999,30%,"XS, S, M, L, XL, XXL, 3XL",3.5,
HERE&NOW,Plus Size,tops,419,1049,60%,"XS, S, M, L, XL, XXL",1,
Sztori,Plus Size,kurtas,719,1799,60%,"L, XL, XXL, 3XL, 4XL, 5XL",5,
Sangria,Plus Size,kurta-sets,1162,1817,36%,"S, M, L, XL, XXL, 3XL",2,
HERE&NOW,Plus Size,jeans,839,2099,60%,"26, 28, 30, 32, 34",5,
Qurvii,Plus Size,tops,999,2400,Rs. 1401 ,"S, M, L, XL, XXL, 3XL, 4XL",2,
Moda Rapido,Plus Size,tops,449,999,55%,"S, M, L, XL",1,
Cayman,Sports Wear,track-pants,897,1795,50%,"M, L, XL, XXL",5,
U.S. Polo Assn. Women,Sports Wear,tights,1139,1899,40%,"XS, S, M, L, XL, XXL",1,
Black Panther,Sports Wear,track-pants,439,879,50%,"S, M, L, XL, XXL, 3XL",3,
Sangria,Plus Size,kurtas,389,1299,70%,"XS, S, M, L, XL, XXL, 3XL",3.6,
HERE&NOW,Plus Size,tops,419,1399,70%,"S, M, L, XL, XXL",3.6,
HERE&NOW,Plus Size,tops,419,1399,70%,"XS, S, M, L, XL, XXL",3.7,
HERE&NOW,Plus Size,kurtas,559,1399,60%,"XS, S, M, L, XL, XXL, 3XL",3.6,
HERE&NOW,Plus Size,kurtas,449,1499,70%,"XS, S, M, L, XL, XXL, 3XL",3.7,
plusS,Plus Size,dresses,629,1799,65%,"S, M, L, XL, XXL, 3XL, 4XL",3.7,
plusS,Plus Size,dresses,839,2399,65%,"S, M, L, XL, XXL, 3XL, 4XL",3.5,
HERE&NOW,Plus Size,kurtas,559,1399,60%,"S, M, L, XL, XXL, 3XL",3.7,403
HERE&NOW,Plus Size,jackets,1499,4999,70%,"XS, S, M, L, XL, XXL",3.4,387
HERE&NOW,Plus Size,jeans,799,1999,60%,"26, 28, 30, 32, 34, 36, 38, 40",2.8,382
Moda Rapido,Plus Size,tops,699,1399,50%,"S, M, L, XL, XXL",3.3,361
HERE&NOW,Plus Size,kurtas,479,1599,70%,"S, M, L, XL, XXL, 3XL",3.5,355
HERE&NOW,Plus Size,kurtas,479,1199,60%,"XS, S, M, L, XL, XXL, 3XL",3.7,348
Sangria,Plus Size,sarees,1899,3799,50%,Onesize,3.7,340
Janasya,Indian Wear,saree-blouse,545,1029,47%,Onesize,3.4,5
Vishudh,Indian Wear,kurtas,503,1049,52%,"S, M, L, XL, XXL",3,5
Clora Creation,Indian Wear,palazzos,659,1099,40%,"28, 30, 32, 34, 36, 38, 40",3.6,5
Clora Creation,Indian Wear,dhotis,747,1099,32%,"S, M, L, XL, XXL, 3XL, 4XL",5,5
Sangria,Indian Wear,kurtas,1059,1099,Rs. 40 ,"S, M, L, XL, XXL",3.2,5
FABNEST,Indian Wear,tunics,803,1100,27%,"XS, S, M, L, XL, XXL, 3XL",3,5
Stylee LIFESTYLE,Indian Wear,dress-material,3314,11049,70%,Onesize,3.4,5
Netram,Indian Wear,lehenga-choli,3879,11409,66%,Onesize,3.6,5
Grancy,Indian Wear,saree-blouse,689,1149,40%,L/XL,3,5
Shaily,Indian Wear,dupatta,730,1160,37%,Onesize,2.8,5
Stylee LIFESTYLE,Indian Wear,dress-material,4659,11649,60%,Onesize,3.2,5
Readiprint Fashions,Indian Wear,lehenga-choli,5287,11750,55%,Onesize,2.6,5
Mitera,Indian Wear,sarees,3187,11805,73%,Onesize,3.6,5
Mitera,Indian Wear,sarees,3187,11805,73%,Onesize,3.4,5
VASTRANAND,Indian Wear,saree-blouse,609,1195,49%,Onesize,3.6,5
SOUNDARYA,Indian Wear,dupatta,743,1199,38%,Onesize,3.4,5
KALINI,Indian Wear,sarees,551,1199,54%,Onesize,3.4,5
DOOR74,Sports Wear,shorts,539,1199,55%,"26, 28, 30, 32",3.6,309
Boston Club,Sports Wear,track-pants,1044,1899,45%,"S, M, L, XL, XXL",3.5,167
HRX by Hrithik Roshan,Sports Wear,sweatshirts,2399,3999,40%,"XS, S, M, L, XL, XXL",3.6,165
Boston Club,Sports Wear,track-pants,699,999,30%,"S, M, L, XL, XXL",3.3,132
Nike,Sports Wear,tights,1347,2995,55%,"XS, S, M, L, XL",3.3,126
Austin wood,Sports Wear,track-pants,463,1599,71%,"S, M, L, XL, XXL, 3XL",3.3,125
Slazenger,Sports Wear,tights,489,1399,65%,"S, M, L, XL, XXL",3.6,103
HRX by Hrithik Roshan,Sports Wear,track-pants,1034,2299,55%,"XS, S, M, L, XL",3.6,103
URBANIC,Sports Wear,tights,742,990,25%,"M, L, XL, XXL",2.8,86
Boston Club,Sports Wear,track-pants,753,1299,42%,"M, L, XL, XXL",3.5,82
Clovia,Sports Wear,bra,539,1199,55%,"S, M, L, XL, XXL",3.3,81
NEU LOOK FASHION,Sports Wear,tights,493,1299,62%,"S, M, L, XL, XXL",3.1,75
HRX by Hrithik Roshan,Sports Wear,track-pants,759,1899,60%,"XS, S, M, L, XL",3.5,74
Rute,Sports Wear,track-pants,1115,1799,38%,"XXL, 3XL, 4XL, 5XL, 6XL, 7XL, 8XL",3.6,69
HRX by Hrithik Roshan,Sports Wear,shorts,674,1499,55%,"26, 28, 30, 32, 34, 36",4.4,394
HRX by Hrithik Roshan,Sports Wear,tshirts,524,699,25%,"XS, S, M, L, XL",4.5,393
Red Tape,Sports Wear,sports-sandals,1138,3795,70%,"UK2, UK3, UK4, UK5, UK6, UK6.5",4.4,379
HRX by Hrithik Roshan,Sports Wear,track-pants,809,1799,55%,"XS, S, M, L, XL",4.5,376
Cultsport,Sports Wear,tights,1180,2299,Rs. 1119 ,"XS, S, M, L, XL, XXL",4.6,376
FEMEA,Sports Wear,track-pants,899,1499,40%,"M, L, XL, XXL",4.5,372
Nike,Sports Wear,track-pants,2097,3495,40%,"XS, S, M, L, XL",4.5,372
DressBerry,Sports Wear,tshirts,499,999,50%,"XS, S, M, L, XL",4.4,364
HRX by Hrithik Roshan,Sports Wear,track-pants,854,1899,55%,"XS, S, M, L, XL",4.5,361
Revolution,Plus Size,tops,1518,2200,31%,"XL, XXL, 3XL, 4XL, 5XL, 6XL",5,2
Indietoga,Plus Size,dresses,670,2483,73%,"S, M, L, XL",5,2
Qurvii,Plus Size,shrug,1699,2595,Rs. 896 ,"XS, S, M, L, XL, XXL, 3XL, 4XL",2.5,2
Jaipur Kurti,Plus Size,kurta-sets,1025,2699,62%,"S, M, L, XL, XXL, 3XL",3.5,2
Amydus,Plus Size,dresses,2491,2799,11%,"XXL, 3XL, 4XL, 5XL, 6XL, 7XL, 8XL, 9XL",5,2
Amydus,Plus Size,dresses,2491,2799,11%,"3XL, 4XL, 5XL, 6XL, 7XL, 8XL, 9XL",4.5,2
Sangria,Plus Size,kurta-sets,839,2799,70%,"M, L, XL, XXL",3,2
FabAlley Curve,Plus Size,dresses,2065,2950,30%,"XL, XXL, 3XL, 4XL",5,2
Indietoga,Plus Size,skirts,894,2983,70%,"36, 38, 40, 42, 44, 46",4.5,2
Sangria,Plus Size,stoles,1349,2999,55%,Onesize,3,2
Sangria,Plus Size,kurta-sets,1199,2999,60%,"XS, S, M, L, XL, XXL",1,2
Amydus,Plus Size,dresses,1889,2999,37%,"3XL, 4XL, 5XL, 6XL, 7XL, 8XL",3,2
Revolution,Plus Size,dresses,2070,3000,31%,"XL, XXL, 3XL, 4XL, 5XL, 6XL",3.5,2
Qurvii,Plus Size,dresses,1699,3095,Rs. 1396 ,"XS, S, M, L, XL, XXL, 3XL, 4XL",3,2
Qurvii,Plus Size,dresses,1799,3295,Rs. 1496 ,"XS, S, M, L, XL, XXL, 3XL, 4XL",4.5,2
Sangria,Plus Size,sarees,1352,3299,59%,Onesize,3,2
Sangria,Plus Size,sarees,1393,3399,59%,Onesize,2.5,2
Sangria,Plus Size,kurtas,389,1299,70%,"XS, S, M, L, XL, XXL, 3XL",3.6,
HERE&NOW,Plus Size,tops,419,1399,70%,"S, M, L, XL, XXL",3.6,
HERE&NOW,Plus Size,kurtas,559,1399,60%,"XS, S, M, L, XL, XXL, 3XL",3.6,
Jaipur Kurti,Plus Size,kurtas,635,1549,59%,"S, M, L, XL, XXL",4.4,
HERE&NOW,Plus Size,kurtas,399,1599,75%,"XS, S, M, L, XL, XXL, 3XL",4.4,
plusS,Plus Size,dresses,804,2299,65%,"S, M, L, XL, XXL, 3XL, 4XL",4.4,
plusS,Plus Size,dresses,959,2399,60%,"S, M, L, XL, XXL, 3XL, 4XL",4.4,
plusS,Plus Size,dresses,839,2399,65%,"S, M, L, XL, XXL, 3XL, 4XL",3.5,
