BrandName,Category,Individual_category,Description,discount_price,original_price,discount,SizeOption,ratings,reviews
Ode by House of Pataudi,Indian Wear,kurtas,ode by house of pataudi men red  golden woven design straight kurta,874,2499,65%,"XS, S, M, L, XL",2.5,46
Campus Sutra,Topwear,shirts,campus sutra men brown  navy blue regular fit checked casual shirt,644,1499,57%,"38, 40, 42, 44",2.5,27
Jack & Jones,Topwear,shirts,jack  jones men black windowpane checks casual shirt,1749,2499,30%,"39, 40, 42, 44, 46",2.5,14
Mufti,Bottom Wear,jeans,mufti men blue regular fit mid rise clean look stretchable jeans,1499,2999,50%,"28, 30, 32, 34, 36, 38, 40",2.5,13
HERE&NOW,Bottom Wear,jeans,herenow men blue slim fit mid rise clean look stretchable jeans,674,2699,75%,"28, 30, 32, 34, 36",2.6,52
Hangup,Topwear,blazers,hangup men white solid single breasted casual blazer,1919,5999,68%,"36, 38, 40, 42, 44, 46",2.6,47
Benstoke,Indian Wear,kurta-sets,benstoke men black dupion silk kurta with pyjamas  nehru jacket,1999,3999,50%,"S, M, L, XL, XXL",2.7,35
Hangup,Topwear,blazers,hangup mens white solid single breasted blazer,1889,6999,73%,"36, 38, 40, 42, 44, 46",2.7,35
Mast & Harbour,Topwear,tshirts,mast  harbour men black pure cotton solid t shirt,549,999,45%,"S, M, L, XL",2.7,27
Pepe Jeans,Bottom Wear,jeans,pepe jeans men grey austin chinox slim fit low rise clean look stretchable jeans,2159,3599,40%,"28, 30, 32, 34, 36, 38, 40",2.7,26
WROGN ACTIVE,Bottom Wear,track-pants,wrogn active men black solid slim fit regular track pants,899,1999,55%,"S, M, L, XL, XXL",2.6,25
Puma,Bottom Wear,shorts,puma men navy blue  black printed train fav blaster dry cell regular fit sports shorts,1099,1999,45%,"28, 30, 32, 34, 36, 38",2.6,23
Colt,Topwear,tshirts,colt men white printed round neck pure cotton t shirt,359,599,40%,"XS, S, M, L, XL, XXL",2.6,22
PAUSE SPORT,Bottom Wear,track-pants,pause sport men green solid cotton antimicrobial slim fit joggers,419,1399,70%,"S, M, L, XL, XXL",2.7,21
Puma,Bottom Wear,track-pants,puma men grey solid straight fit joggers,2099,2999,30%,"XS, S, M, L, XL, XXL",2.7,19
HIGHLANDER,Bottom Wear,jeans,highlander men grey tapered fit highly distressed heavy fade stretchable jeans,845,1799,53%,"30, 32, 34, 36, 38",2.6,19
Alcis,Bottom Wear,track-pants,alcis men charcoal grey solid joggers,1079,1799,40%,"S, M, L, XL, XXL",2.7,19
Urban Dog,Inner Wear &  Sleep Wear,boxers,urban dog men assorted pure cotton boxers udbx440 m,279,1399,80%,"M, L, XL",2.7,19
HRX by Hrithik Roshan,Bottom Wear,trousers,hrx by hrithik roshan men sponge solid tapered fit rapid dry lifestyle trousers,979,2799,65%,"28, 30, 32, 34, 36",2.7,17
Dollar Bigboss,Inner Wear &  Sleep Wear,trunk,dollar bigboss men pack of 2 assorted short trunks mdtr 05 po2 co3,520,578,10%,"S, M, L, XL",2.6,17
Puma,Bottom Wear,track-pants,puma men grey solid track pants,1949,2999,35%,"XS, S, M, L, XL, XXL",2.7,16
SPYKAR,Bottom Wear,trousers,spykar men black slim fit solid regular trousers,1143,2599,56%,"28, 30, 32, 34, 36, 38",2.7,15
Roadster,Topwear,shirts,roadster men grey casual shirt with patch pocket,629,1799,65%,"38, 40, 42, 44",2.9,405
HERE&NOW,Bottom Wear,jeans,herenow men blue slim fit mid rise clean look stretchable jeans,674,2699,75%,"28, 30, 32, 34, 36",3,263
WROGN,Topwear,jackets,wrogn men black solid slim fit denim jacket,1599,3999,60%,"M, L, XL, XXL",2.9,239
Urban Dog,Inner Wear &  Sleep Wear,boxers,urban dog men grey  black striped boxer udbx172 m,279,1399,80%,"M, L, XL, XXL",2.9,97
HERE&NOW,Bottom Wear,jeans,herenow men black slim fit mid rise clean look stretchable jeans,799,1599,50%,"28, 30, 32, 34, 36",2.8,80
cape canary,Bottom Wear,trousers,cape canary men grey cargos,1124,2499,55%,"28, 30, 32, 34, 36",3,53
HRX by Hrithik Roshan,Bottom Wear,track-pants,hrx by hrithik roshan edge lifestyle men anthracite camouflage track pants,1049,2999,65%,"S, M, L, XL, XXL",3,51
Harvard,Bottom Wear,jeans,harvard men navy blue skinny fit mid rise low distress stretchable jeans,1149,2299,50%,"28, 30, 32, 34, 36",2.9,51
High Star,Topwear,shirts,high star men blue slim fit faded denim casual shirt,643,1399,54%,"38, 40, 42, 44",2.9,40
The Indian Garage Co,Bottom Wear,track-pants,the indian garage co men maroon solid joggers with colorblocked detail,607,1899,68%,"S, M, L, XL, XXL",3,39
Hangup,Topwear,shirts,hangup men blue smart regular fit checked casual shirt,571,2199,74%,"36, 38, 40, 42",2.9,39
Sztori,Topwear,jackets,sztori men plus size black  white colourblocked windcheater jacket,1259,4199,70%,"XXL, 3XL, 4XL, 5XL, 6XL",2.9,39
Pepe Jeans,Bottom Wear,jeans,pepe jeans men black blade vapour skinny fit mid rise clean look stretchable jeans,2279,3799,40%,"28, 30, 32, 34, 36",3,36
Hubberholme,Bottom Wear,track-pants,hubberholme white slim fit track pants,449,999,55%,"S, M, L, XL, XXL, 3XL, 4XL",3.5,918
Roadster,Bottom Wear,jeans,roadster men blue premium mildly distressed acid wash skinny fit stretchable lycra fiber jeans,1349,2699,50%,"28, 30, 32, 34, 36",3.5,900
Harvard,Bottom Wear,jeans,harvard men navy blue slim fit mid rise clean look stretchable jeans,1138,1898,40%,"28, 30, 32, 34, 36",3.2,865
Kook N Keech Superman,Topwear,tshirts,kook n keech superman men white printed round neck pure cotton t shirt,494,899,45%,"S, M, L, XL, XXL",3.5,845
Roadster,Bottom Wear,trousers,roadster men navy slim fit pure cotton joggers,989,2199,55%,"28, 30, 32, 34, 36",3.5,841
Campus Sutra,Bottom Wear,jeans,campus sutra men navy blue mildly distressed light fade applique stretchable jeans,816,1899,57%,"28, 30, 32, 34, 36",3.4,824
Roadster,Bottom Wear,jeans,roadster men blue skinny fit mid rise clean look stretchable jeans,899,1999,55%,"28, 30, 32, 34, 36",3.4,819
Harvard,Bottom Wear,jeans,harvard men black slim fit mid rise clean look stretchable jeans,1138,1898,40%,"28, 30, 32, 34, 36",3.3,777
Campus Sutra,Bottom Wear,jeans,campus sutra men blue jogger fit mid rise clean look stretchable jeans,781,1699,54%,"30, 32, 34, 36",3.4,713
HRX by Hrithik Roshan,Bottom Wear,trousers,hrx by hrithik roshan men black outdoor trousers,909,2599,65%,"28, 30, 32, 34, 36, 38",3.5,423
Harvard,Bottom Wear,jeans,harvard men blue skinny fit mid rise clean look stretchable cropped jeans,1258,2098,40%,"28, 30, 32, 34, 36",3.4,423
WROGN,Topwear,jackets,wrogn men navy blue solid slim fit denim jacket,1799,3999,55%,"S, M, L, XL, XXL",3.4,422
Roadster,Bottom Wear,jeans,roadster men blue skinny fit washed mid rise clean look stretchable jeans,799,1999,60%,"28, 30, 32, 34, 36",3.3,421
Mast & Harbour,Bottom Wear,jeans,mast  harbour men blue carrot fit mid rise mildly distressed stretchable jeans,839,2099,60%,"28, 30, 32, 34, 36",3.1,412
Urban Dog,Inner Wear &  Sleep Wear,boxers,urban dog mens assorted pack of 2 boxers,475,2798,83%,"XXL, M, XL, L",3.3,401
Mast & Harbour,Topwear,jackets,mast  harbour men mustard yellow solid hooded lightweight jacket,919,2299,60%,"S, M, L, XL",3.5,401
Justice League,Sports Wear,tshirts,justice league men navy blue printed round neck t shirt,324,1299,75%,"S, M, L, XL, XXL",3.4,272
hangup trend,Bottom Wear,trousers,hangup trend men grey self design formal trousers,783,1599,51%,"28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52",3.4,261
Mast & Harbour,Bottom Wear,jeans,mast  harbour men blue skinny fit mid rise clean look stretchable jeans,759,1899,60%,"28, 30, 32, 34, 36",3.1,176
HRX by Hrithik Roshan,Sports Wear,jackets,hrx by hrithik roshan lifestyle men medieval blue  rapid dry colourblock jackets,1049,2999,65%,"S, M, L, XL, XXL",3.5,175
Urban Dog,Inner Wear &  Sleep Wear,boxers,urban dog men assorted printed    pure cotton boxers udbx152,279,1399,80%,"M, L, XL, XXL",3.5,165
SPYKAR,Bottom Wear,jeans,spykar men black skinny fit low rise clean look stretchable jeans,1664,3699,55%,"28, 30, 32, 34, 36, 38",3.5,161
Campus Sutra,Bottom Wear,jeans,campus sutra men blue slim fit mid rise mildly distressed stretchable jeans,764,1699,55%,"30, 32, 34, 36",3.5,151
Anouk,Indian Wear,nehru-jackets,anouk men beige  blue embroidered nehru jacket,799,1999,60%,"S, M, L, XL, XXL",3.5,151
HIGHLANDER,Bottom Wear,jeans,highlander men blue slim fit light fade stretchable jeans,798,1699,53%,"30, 32, 34, 36, 38",3.4,148
Maniac,Bottom Wear,track-pants,maniac men black solid slim fit joggers,637,1329,52%,"M, L, XL",3.5,147
HIGHLANDER,Bottom Wear,jeans,highlander men charcoal black tapered fit mid rise clean look jeans,459,1149,60%,"30, 32, 34, 36, 38",3.5,145
KETCH,Bottom Wear,trousers,ketch men beige slim fit easy wash chinos trousers,639,1599,60%,"30, 32, 34, 36",3.5,140
Peter England Casuals,Bottom Wear,trousers,peter england casuals men black printed skinny fit chinos trousers,824,1499,45%,"30, 32, 34, 36, 38",3.2,139
Hangup,Indian Wear,kurta-sets,hangup men white solid kurta with pyjamas,749,2999,75%,"M, L, XL, XXL",3.5,139
Roadster,Bottom Wear,jeans,roadster men navy blue slim fit mid rise clean look jeans,824,1499,45%,"28, 30, 32, 34, 36",3.9,999
LOCOMOTIVE,Bottom Wear,track-pants,locomotive men black  white solid slim fit track pants,517,1149,55%,"S, M, L, XL",4,999
HIGHLANDER,Bottom Wear,trousers,highlander men olive green slim fit solid regular trousers,599,1499,60%,"30, 32, 34, 36",3.9,998
WROGN,Bottom Wear,jeans,wrogn men blue skinny fit mid rise clean look stretchable jeans,1539,2799,45%,"28, 30, 32, 34, 36, 38",4,988
HRX by Hrithik Roshan,Sports Wear,track-pants,hrx by hrithik roshan men olive green camo athleisure track pants,759,1899,60%,"S, M, L, XL, XXL",4,988
Roadster,Bottom Wear,jeans,roadster men navy blue super skinny fit acid wash clean look stretchable jeans,799,1999,60%,"28, 30, 32, 34, 36, 38, 40",3.8,987
Moda Rapido,Topwear,tshirts,moda rapido men olive green printed round neck pure cotton t shirt,399,999,60%,"S, M, L, XL",4,987
Roadster,Bottom Wear,jeans,roadster men blue slim fit mid rise mildly distressed stretchable jeans,989,2199,55%,"28, 30, 32, 34, 36",3.7,986
HIGHLANDER,Topwear,shirts,highlander men navy  off white slim fit checked casual shirt,699,999,30%,"39, 40, 42, 44",4,985
Maniac,Topwear,tshirts,maniac men yellow  navy blue printed round neck pure cotton t shirt,483,1099,56%,"S, M, L, XL",4,906
Roadster,Bottom Wear,jeans,roadster men blue skinny fit mid rise clean look stretchable jeans,719,1799,60%,"28, 30, 32, 34, 36",3.9,902
Campus Sutra,Topwear,sweatshirts,campus sutra men navy blue solid hooded sweatshirt,730,1699,57%,"S, M, L, XL",4,902
Mast & Harbour,Bottom Wear,jeans,mast  harbour men white slim fit mid rise clean look stretchable jeans,919,2299,60%,"28, 30, 32, 34, 36",3.6,899
Roadster,Bottom Wear,jeans,roadster men black slim fit mid rise clean look stretchable jeans,719,1799,60%,"28, 30, 32, 34, 36",3.9,897
Maniac,Bottom Wear,track-pants,maniac men black solid slim fit joggers,621,1109,44%,"M, L, XL",3.8,895
HERE&NOW,Bottom Wear,jeans,herenow men grey slim tapered fit mid rise clean look stretchable cropped jeans,674,2699,75%,"28, 30, 32, 34, 36",3.7,894
LOCOMOTIVE,Topwear,shirts,locomotive men blue  navy blue slim fit checked casual shirt,725,1649,56%,"39, 40, 42, 44",4,893
WROGN,Topwear,jackets,wrogn men olive green solid slim fit biker jacket,1839,4599,60%,"M, L, XL, XXL",4,881
Campus Sutra,Topwear,shirts,campus sutra men blue  grey regular fit colourblocked casual shirt,644,1499,57%,"38, 40, 42, 44",3.9,880
Campus Sutra,Topwear,tshirts,campus sutra men blue solid round neck pure cotton t shirt,386,899,57%,"S, M, L, XL",3.8,877
Campus Sutra,Topwear,sweatshirts,campus sutra men green solid hooded sweatshirt,730,1699,57%,"S, M, L, XL",4,875
Mast & Harbour,Topwear,shirts,mast  harbour men beige  grey slim fit checked sustainable casual shirt,1049,2099,50%,"38, 40, 42, 44",3.8,870
Moda Rapido,Topwear,tshirts,moda rapido men white  black striped round neck t shirt,359,899,60%,"S, M, L, XL",3.9,870
HRX by Hrithik Roshan,Topwear,tshirts,hrx by hrithik roshan men red printed round neck athleisure pure cotton t shirt,449,899,50%,"S, M, L, XL, XXL",3.8,840
LOCOMOTIVE,Bottom Wear,jeans,locomotive men white slim fit mid rise clean look stretchable jeans,874,2499,65%,"30, 32, 34, 36",3.8,839
Roadster,Bottom Wear,trousers,roadster men navy blue slim fit pure cotton sustainable chinos,899,1999,55%,"28, 30, 32, 34, 36",3.7,838
Kook N Keech,Topwear,sweatshirts,kook n keech men red  white colourblocked sweatshirt,474,1899,75%,"S, M, L, XL",4,837
Harvard,Topwear,shirts,harvard men navy blue  red slim fit checked sustainable casual shirt,944,2099,55%,"38, 40, 42, 44",4,835
Roadster,Bottom Wear,jeans,roadster men blue skinny fit mid rise clean look stretchable jeans,934,1699,45%,"26, 28, 30, 32, 34, 36",4,834
WROGN,Topwear,tshirts,wrogn men burgundy solid polo collar slim fit t shirt,699,1399,50%,"S, M, L, XL, XXL",4,832
HRX by Hrithik Roshan,Bottom Wear,track-pants,hrx by hrithik roshan men navy melange solid regular fit bio wash lifestyle jogger,759,1899,60%,"S, M, L, XL, XXL",4,831
Hubberholme,Inner Wear &  Sleep Wear,lounge-pants,hubberholme men solid grey melange solid lounge pants,489,999,51%,"S, M, L, XL",3.9,830
HIGHLANDER,Bottom Wear,trousers,highlander men green tapered fit solid chinos,604,1549,61%,"30, 32, 34, 36",3.9,827
Purple State,Indian Wear,kurtas,purple state men maroon solid kurta,987,2599,62%,"S, M, L, XL, XXL, 3XL",4,824
INVICTUS,Bottom Wear,trousers,invictus men charcoal grey slim fit self design formal trousers,1199,2399,50%,"30, 32, 34, 36",4,823
DENNISON,Topwear,shirts,dennison men white comfort fit solid formal shirt,699,1999,65%,"38, 40, 42, 44",3.8,821
HIGHLANDER,Topwear,shirts,highlander men white  black slim fit striped casual shirt,499,1349,63%,"39, 40, 42, 44",4,817
Roadster,Bottom Wear,jeans,roadster men blue super skinny fit mid rise low distress stretchable jeans,799,1999,60%,"28, 30, 32, 34, 36",3.9,816
HRX by Hrithik Roshan,Bottom Wear,track-pants,hrx active by hrithik roshan men grey solid joggers,949,1899,50%,"XS, S, M, L, XL, XXL",3.8,810
Roadster,Bottom Wear,jeans,roadster men blue skinny fit mid rise clean look stretchable jeans,749,1499,50%,"28, 30, 32, 34, 36",3.8,808
Roadster,Bottom Wear,jeans,roadster men blue slim fit mid rise clean look jeans,839,1399,40%,"28, 30, 32, 34, 36",4,808
LOCOMOTIVE,Topwear,tshirts,locomotive men navy blue  sea green colourblocked polo collar t shirt,571,1299,56%,"S, M, L, XL",4,807
Roadster,Bottom Wear,jeans,roadster men navy blue skinny fit mid rise clean look stretchable jeans,854,1899,55%,"28, 30, 32, 34, 36",3.9,776
HIGHLANDER,Bottom Wear,jeans,highlander men grey tapered fit mid rise clean look jeans,681,1449,53%,"30, 32, 34, 36, 38",3.8,776
Roadster,Bottom Wear,jeans,roadster men grey skinny fit mid rise clean look stretchable jeans,944,2699,65%,"28, 30, 32, 34, 36",3.9,775
ether,Bottom Wear,jeans,ether men white slim fit jeans,1044,1899,45%,"28, 30, 32, 34, 36",3.7,775
Roadster,Bottom Wear,jeans,roadster men navy blue slim fit mid rise clean look stretchable jeans,899,1999,55%,"28, 30, 32, 34, 36",3.8,774
HRX by Hrithik Roshan,Bottom Wear,shorts,hrx by hrithik roshan men charcoal grey rapid dry lightweight dolphin running shorts,489,1399,65%,"28, 30, 32, 34, 36",3.8,774
HIGHLANDER,Bottom Wear,jeans,highlander men white slim fit mid rise clean look stretchable jeans,702,1899,63%,"30, 32, 34, 36, 38",3.9,773
HIGHLANDER,Bottom Wear,trousers,highlander men khaki slim fit joggers,775,1649,53%,"30, 32, 34, 36",4,772
Rigo,Bottom Wear,track-pants,rigo men black  white printed regular fit joggers,764,1699,55%,"M, L, XL, XXL",3.6,770
WROGN,Topwear,shirts,wrogn men navy slim fit printed casual shirt,1099,2199,50%,"39, 40, 42, 44, 46",4.1,967
WROGN,Topwear,tshirts,wrogn men olive green henley neck slim fit cotton pure cotton t shirt,959,1599,40%,"S, M, L, XL, XXL",4.1,961
Roadster,Topwear,tshirts,roadster men teal blue printed round neck pure cotton t shirt,449,899,50%,"XS, S, M, L, XL",4.1,961
WROGN,Topwear,shirts,wrogn men maroon  off white slim fit checked casual shirt,1319,2399,45%,"39, 40, 42, 44, 46",4.3,959
WROGN,Bottom Wear,jeans,wrogn navy slim fit low distressed stretchable jeans,1649,2999,45%,"28, 30, 32, 34, 36, 38",4.1,958
Chkokko,Topwear,tshirts,chkokko men black solid high neck t shirt,857,2765,69%,"S, M, L, XL, XXL, 3XL, 4XL, 5XL",4.3,947
U.S. Polo Assn.,Inner Wear &  Sleep Wear,briefs,us polo assn men pack of 2 black solid briefs y9i006 002 p2,492,518,5%,"S, M, L",4.3,941
Roadster,Topwear,shirts,roadster men olive pure cotton casual shirt,899,1999,55%,"38, 40, 42, 44",4.1,931
ether,Topwear,shirts,ether men black slim fit antimicrobial cotton stretch shirt,719,1599,55%,"38, 40, 42, 44",4.2,910
Anouk,Indian Wear,kurtas,anouk men maroon  beige printed straight short kurta,599,1499,60%,"S, M, L, XL, XXL",4.2,909
WROGN,Topwear,shirts,wrogn men rust orange checked slim casual shirt,1149,2299,50%,"39, 40, 42, 44, 46",4.1,909
U.S. Polo Assn.,Inner Wear &  Sleep Wear,briefs,us polo assn men assorted solid briefs i666 615 p1,265,279,5%,"S, M, L",4.1,893
Roadster,Topwear,tshirts,roadster men charcoal grey melange solid scoop neck pure cotton t shirt with racer back,274,499,45%,"XS, S, M, L, XL",4.2,893
Campus Sutra,Topwear,sweatshirts,campus sutra men mustard yellow printed hooded sweatshirt,730,1699,57%,"S, M, L, XL",4.3,891
Levis,Inner Wear &  Sleep Wear,socks,levis men set of 3 shoeliners,317,489,35%,Onesize,4.2,854
Roadster,Topwear,shirts,the roadster lifestyle co men black  olive green tartan checks checked cotton casual shirt,599,1499,60%,"38, 40, 42, 44, 46, 48",4.4,854
Campus Sutra,Sports Wear,tshirts,campus sutra men grey solid mandarin collar t shirt,515,1199,57%,"S, M, L, XL",4.3,843
HRX by Hrithik Roshan,Sports Wear,tshirts,hrx by hrithik roshan men grey solid high neck t shirt,899,1499,40%,"S, M, L, XL, XXL",4.3,842
Louis Philippe Sport,Topwear,tshirts,louis philippe sport men purple brand logo polo collar t shirt,719,1199,40%,"S, M, L, XL, XXL, 3XL",4.2,842
Roadster,Topwear,shirts,roadster men navy blue  brown checked sustainable casual shirt,719,1599,55%,"38, 40, 42, 44",4.2,841
Mast & Harbour,Topwear,shirts,mast  harbour men magenta  orange checked pure cotton sustainable casual shirt,1099,1999,45%,"38, 40, 42, 44",4.3,841
Roadster,Topwear,tshirts,roadster men burgundy all over print round neck t shirt,314,699,55%,"S, M, L, XL",4.3,840
Roadster,Bottom Wear,shorts,roadster men beige printed regular fit chino shorts,719,1599,55%,"28, 30, 32, 34, 36",4.5,839
Roadster,Topwear,shirts,roadster men black  red printed pure cotton sustainable casual shirt,559,1399,60%,"38, 40, 42, 44, 46, 48",4.3,839
HRX by Hrithik Roshan,Bottom Wear,track-pants,hrx by hrithik roshan men grey melange solid slim fit rapid dry running track pants,959,2399,60%,"S, M, L, XL, XXL",4.1,838
WROGN,Topwear,tshirts,wrogn men blue slim fit colourblocked round neck pure cotton t shirt,499,999,50%,"S, M, L, XL, XXL",4.4,834
HRX by Hrithik Roshan,Bottom Wear,track-pants,hrx by hrithik roshan white cotton athleisure track pants,679,1699,60%,"S, M, L, XL, XXL",4.3,833
Mast & Harbour,Inner Wear &  Sleep Wear,socks,mast  harbour men pack of 3 calf length socks,199,499,"60% , Hurry*",Onesize,4.4,833
Hubberholme,Bottom Wear,track-pants,hubberholme men black slim fit solid cargo joggers,659,1499,56%,"S, M, L, XL",4.1,832
Taavi,Indian Wear,kurtas,taavi men maroon  black bagru printed straight sustainable kurta with roll up sleeves,1149,2299,50%,"S, M, L, XL, XXL",4.3,832
WROGN,Inner Wear &  Sleep Wear,socks,wrogn men set of 3 above ankle socks,454,649,30%,Onesize,4.5,828
Campus Sutra,Topwear,sweatshirts,campus sutra men maroon solid hooded sweatshirt,730,1699,57%,"S, M, L, XL",4.1,828
WROGN,Topwear,shirts,wrogn men navy checked casual shirt,1149,2299,50%,"39, 40, 42, 44, 46",4.1,828
WROGN,Topwear,tshirts,wrogn men black solid slim fit polo collar pure cotton t shirt,714,1299,45%,"S, M, L, XL, XXL",4.3,827
VIMAL,Inner Wear &  Sleep Wear,lounge-pants,vimal men pack of 2 solid cotton lounge pants,988,1798,45%,"S, M, L, XL, XXL",4.1,826
HRX by Hrithik Roshan,Sports Wear,tshirts,hrx by hrithik roshan men teal blue printed round neck athleisure pure cotton t shirt,539,899,40%,"S, M, L, XL, XXL",4.2,826
LOCOMOTIVE,Topwear,shirts,locomotive men olive green slim fit solid casual shirt,593,1799,67%,"39, 40, 42, 44",4.1,826
HERE&NOW,Topwear,shirts,herenow men olive green slim fit solid casual shirt,1181,2149,45%,"38, 40, 42, 44, 46",4.3,826
HIGHLANDER,Topwear,shirts,highlander men beige slim fit solid casual shirt,587,1249,53%,"39, 40, 42, 44",4.1,825
NYAMBA By Decathlon,Bottom Wear,track-pants,nyamba by decathlon men navy blue fitness track pants,601,699,14%,"S, M, L, XL, XXL",4.1,824
HIGHLANDER,Bottom Wear,track-pants,highlander men navy blue solid slim fit track pants,441,849,48%,"S, M, L, XL",4.1,823
Hangup,Indian Wear,kurta-sets,hangup men black solid kurta with pyjamas,959,2999,68%,"M, L, XL, XXL",4.2,823
Campus Sutra,Topwear,shirts,campus sutra men white  blue striped casual shirt,749,1499,50%,"38, 40, 42, 44",4.3,823
Roadster,Topwear,jackets,roadster men blue solid denim jacket,874,3499,75%,"S, M, L, XL, XXL, 3XL",4.1,823
Roadster,Topwear,tshirts,roadster men navy blue  orange striped round neck t shirt,499,999,50%,"XS, S, M, L, XL, XXL, 3XL, 4XL",4.3,822
WROGN,Bottom Wear,jeans,wrogn men grey skinny fit mid rise clean look stretchable jeans,1679,2799,40%,"28, 30, 32, 34, 36, 38",4.2,820
WROGN,Bottom Wear,jeans,wrogn men blue slim fit mid rise clean look stretchable jeans,1379,2299,40%,"28, 30, 32, 34, 36, 38",4.1,820
Roadster,Topwear,tshirts,roadster men charcoal grey printed round neck t shirt,299,599,50%,"XS, S, M, L, XL, XXL, 3XL, 4XL",4.1,820
Levis,Inner Wear &  Sleep Wear,trunk,levis men pack of 2 solid pure cotton  trunks bb 100ca 2pk style 010 318,474,499,5%,"S, M, L, XL",4.3,819
Roadster,Topwear,tshirts,roadster men white  charcoal grey colourblocked polo collar pure cotton t shirt,714,1299,45%,"XS, S, M, L, XL, XXL, 3XL, 4XL",4.2,819
WROGN,Topwear,tshirts,wrogn men black printed round neck t shirt,349,699,50%,"S, M, L, XL, XXL",4.5,819
HERE&NOW,Topwear,tshirts,herenow men mustard yellow printed round neck pure cotton t shirt,314,699,55%,"S, M, L, XL",4.2,811
Roadster,Topwear,sweatshirts,roadster men navy blue solid sweatshirt,719,1799,60%,"S, M, L, XL, XXL, 3XL",4.2,810
Moda Rapido,Topwear,tshirts,moda rapido men black solid longline t shirt,439,1099,60%,"S, M, L, XL",4.1,809
Roadster,Topwear,tshirts,roadster men black solid round neck t shirt,274,499,45%,"XS, S, M, L, XL, XXL, 3XL, 4XL",4.2,809
Mast & Harbour,Bottom Wear,trousers,mast  harbour men beige slim fit chinos,799,1999,60%,"26, 28, 30, 32, 34, 36",4.2,808
HERE&NOW,Bottom Wear,track-pants,herenow men black solid regular fit joggers,719,1799,60%,"S, M, L, XL",4.1,808
See Designs,Indian Wear,kurtas,see designs men blue  white woven design straight kurta,989,2199,55%,"XS, S, M, L, XL",4.2,808
LOCOMOTIVE,Topwear,shirts,locomotive men black  off white slim fit printed casual shirt,549,1249,56%,"39, 40, 42, 44",4.3,808
Mast & Harbour,Topwear,shirts,mast  harbour men rust pink regular fit solid casual  linen cotton sustainable shirt,999,2499,60%,"38, 40, 42, 44",4.2,808
Roadster,Topwear,shirts,roadster men navy blue  grey micro check casual sustainable shirt,719,1599,55%,"38, 40, 42, 44",4.5,807
WROGN,Bottom Wear,shorts,wrogn men black solid regular fit shorts,799,1599,50%,"28, 30, 32, 34, 36",4.3,806
HRX by Hrithik Roshan,Sports Wear,tshirts,hrx by hrithik roshan men blue solid round neck rapid dry t shirt,494,1099,55%,"S, M, L, XL, XXL",4.2,804
HIGHLANDER,Topwear,shirts,highlander men navy blue  white slim fit striped casual shirt,443,1199,63%,"39, 40, 42, 44",4.3,804
Roadster,Topwear,shirts,roadster men black  green regular fit checked casual sustainable shirt,899,1499,40%,"38, 40, 42, 44",4.4,803
WROGN,Topwear,shirts,wrogn men burgundy  black slim fit checked casual shirt,1264,2299,45%,"39, 40, 42, 44, 46",4.4,803
WROGN,Topwear,tshirts,wrogn men mustard yellow printed slim fit round neck pure cotton t shirt,499,999,50%,"S, M, L, XL, XXL",4.3,803
Jack & Jones,Inner Wear &  Sleep Wear,briefs,jack  jones men olive green solid briefs 1955179048,209,349,40%,"S, M, L, XL",4.2,793
ether,Bottom Wear,trousers,ether men grey slim fit solid chinos,899,1999,55%,"28, 30, 32, 34, 36",4.2,791
Bushirt,Topwear,tshirts,bushirt men pack of 2 solid round neck pure cotton t shirts,659,1998,67%,"S, M, L, XL, XXL",4.2,791
HIGHLANDER,Bottom Wear,trousers,highlander men olive green tapered fit printed chinos,610,1649,63%,"30, 32, 34, 36",4.2,790
HRX by Hrithik Roshan,Sports Wear,sweatshirts,hrx by hrithik roshan men black solid hooded sweatshirt,824,1499,45%,"S, M, L, XL, XXL",4.1,790
Roadster,Topwear,tshirts,roadster men rust orange  black printed round neck t shirt,399,799,50%,"XS, S, M, L, XL, XXL, 3XL, 4XL",4.2,789
VIMAL,Inner Wear &  Sleep Wear,lounge-pants,vimal men pack of 2 navy blue solid lounge pants,988,1798,45%,"S, M, L, XL, XXL",4.1,788
WROGN,Topwear,sweatshirts,wrogn men maroon  navy blue colorblocked sweatshirt,959,2399,60%,"S, M, L, XL, XXL",4.1,788
Mast & Harbour,Topwear,tshirts,mast  harbour men navy self design round neck t shirt,319,799,60%,"S, M, L, XL",4.2,788
Quechua By Decathlon,Bottom Wear,shorts,quechua by decathlon men grey solid regular shorts,692,699,1%,"29, 31, 32, 34, 36, 41, 42, 48",4.2,787
WROGN,Bottom Wear,jeans,wrogn men white slim fit mid rise clean look stretchable jeans,1819,2799,35%,"28, 30, 32, 34, 36, 38",4.2,787
Harvard,Topwear,shirts,harvard men navy  green slim fit checked casual shirt,899,1999,55%,"38, 40, 42, 44",4.3,787
HRX by Hrithik Roshan,Sports Wear,tshirts,hrx by hrithik roshan men black  grey training regular fit t shirt,539,899,40%,"S, M, L, XL, XXL",4.4,786
Mast & Harbour,Topwear,shirts,mast  harbour men blue  black regular fit printed casual shirt,934,1699,45%,"38, 40, 42, 44",4.2,786
Roadster,Topwear,shirts,roadster men white regular fit printed sustainable casual shirt,779,1299,40%,"38, 40, 42, 44",4.3,785
