BrandName,Category,Individual_category,Description,discount_price,original_price,discount,SizeOption,ratings,reviews
Roadster,Bottom Wear,jeans,roadster men blue super skinny fit mid rise mildly distressed stretchable jeans,719,1799,60%,"28, 30, 32, 34, 36",3.8,932
Mast & Harbour,Bottom Wear,jeans,mast  harbour men navy blue skinny fit mid rise low distress stretchable jeans,599,1499,60%,"28, 30, 32, 34, 36",3.8,927
HIGHLANDER,Topwear,shirts,highlander men rust red  off white slim fit printed casual shirt,516,1099,53%,"39, 40, 42, 44",4.3,927
Roadster,Topwear,tshirts,roadster men blue  white striped round neck pure cotton t shirt,449,899,50%,"XS, S, M, L, XL, XXL, 3XL, 4XL",4.3,926
Mast & Harbour,Topwear,shirts,mast  harbour men brown slim fit   casual linen cotton sustainable shirt,1209,2199,45%,"38, 40, 42, 44",3.6,925
HRX by Hrithik Roshan,Bottom Wear,track-pants,hrx by hrithik roshan teal blue active joggers,1104,1699,35%,"S, M, L, XL, XXL",3.9,924
Roadster,Topwear,shirts,roadster men grey  navy blue regular fit checked casual shirt,854,1899,55%,"38, 40, 42, 44",4.2,921
WROGN,Bottom Wear,jeans,wrogn men blue slim fit mid rise clean look stretchable jeans,1539,2799,45%,"28, 30, 32, 34, 36, 38",3.9,982
Roadster,Bottom Wear,jeans,the roadster lifestyle co men navy blue super skinny fit mid rise mildly distressed stretchable jeans,899,1999,55%,"28, 30, 32, 34, 36",3.8,959
WROGN,Topwear,shirts,wrogn men maroon  off white slim fit checked casual shirt,1319,2399,45%,"39, 40, 42, 44, 46",4.3,959
JAINISH,Topwear,shirts,jainish men grey classic slim fit solid formal shirt,597,1299,54%,"36, 38, 40, 42, 44",3.9,958
Roadster,Topwear,shirts,roadster men teal blue regular fit solid sustainable casual shirt,549,999,45%,"38, 40, 42, 44",4.2,958
Mast & Harbour,Topwear,shirts,mast  harbour men blue slim fit  casual linen cotton sustainable shirt,1099,2199,50%,"38, 40, 42, 44",3.9,957
WROGN,Bottom Wear,trousers,wrogn men olive green joggers,1799,2999,40%,"28, 30, 32, 34, 36, 38",4.2,955
Roadster Fast and Furious,Bottom Wear,jeans,roadster fast and furious men blue slim fit mid rise clean look stretchable jeans,679,1699,60%,"28, 30, 32, 34, 36",3.8,955
Mast & Harbour,Topwear,tshirts,mast  harbour men peach coloured solid round neck t shirt,359,799,55%,"S, M, L, XL",4.1,953
Roadster,Bottom Wear,jeans,roadster men white skinny fit mid rise clean look stretchable jeans,1349,2699,50%,"28, 30, 32, 34, 36",3.9,952
Roadster,Topwear,tshirts,roadster men navy blue  mustard brown striped detail v neck pure cotton t shirt,649,1299,50%,"XS, S, M, L, XL",4.1,952
Mast & Harbour,Topwear,tshirts,mast  harbour men blue striped round neck pure cotton t shirt,359,899,60%,"S, M, L, XL",4.1,952
HIGHLANDER,Topwear,shirts,highlander men sea green slim fit printed casual shirt,479,1199,60%,"39, 40, 42, 44",4.1,949
Mast & Harbour,Bottom Wear,jeans,mast  harbour men navy blue slim tapered fit mid rise clean look stretchable jeans,719,1799,60%,"28, 30, 32, 34, 36",3.4,948
Mast & Harbour,Topwear,shirts,mast  harbour men maroon slim fit casual shirt,919,2299,60%,"38, 40, 42, 44",4.2,948
Roadster,Topwear,tshirts,the roadster lifestyle co men mustard yellow printed round neck pure cotton t shirt,384,699,45%,"S, M, L, XL",4.3,948
Chkokko,Topwear,tshirts,chkokko men black solid high neck t shirt,857,2765,69%,"S, M, L, XL, XXL, 3XL, 4XL, 5XL",4.3,947
HIGHLANDER,Bottom Wear,track-pants,highlander men black solid slim fit track pants,512,899,43%,"S, M, L, XL",4,939
HIGHLANDER,Bottom Wear,jeans,highlander men black tapered fit jeans,657,1399,53%,"30, 32, 34, 36, 38",3.8,939
Mast & Harbour,Bottom Wear,jeans,mast  harbour men navy blue skinny fit mid rise clean look stretchable jeans,719,1799,60%,"28, 30, 32, 34, 36",3.9,937
HRX by Hrithik Roshan,Bottom Wear,track-pants,hrx by hrithik roshan black joggers,599,1499,60%,"S, M, L, XL, XXL",4,936
HRX by Hrithik Roshan,Sports Wear,tshirts,hrx by hrithik roshan men grey self design round neck active t shirt,279,699,60%,"S, M, L, XL, XXL",4.1,936
HIGHLANDER,Topwear,shirts,highlander men beige  white slim fit striped casual shirt,683,1199,43%,"39, 40, 42, 44",4.1,936
Roadster,Topwear,shirts,roadster men black  grey regular fit checked sustainable casual shirt,749,1499,50%,"38, 40, 42, 44",4.4,936
Mast & Harbour,Inner Wear &  Sleep Wear,socks,mast  harbour men pack of 3 above ankle length socks,381,449,15%,Onesize,4.3,934
